Tank,Salinity,Day,Treatment,Proportion Alive
M,20,8,Low,1.00
M,20,9,Low,1.00
M,20,10,Low,1.00
M,20,11,Low,1.00
M,20,12,Low,1.00
M,20,13,Low,1.00
M,20,14,Low,1.00
M,20,15,Low,1.00
M,20,16,Low,1.00
M,20,17,Low,1.00
M,20,18,Low,1.00
M,20,19,Low,1.00
M,20,20,Low,1.00
M,20,21,Low,1.00
M,20,22,Low,1.00
M,20,23,Low,1.00
M,20,24,Low,1.00
M,20,25,Low,1.00
M,20,26,Low,1.00
M,20,27,Low,1.00
M,20,28,Low,1.00
N,17,1,Low,1.00
N,17,2,Low,1.00
N,17,3,Low,1.00
N,17,4,Low,1.00
N,17,5,Low,1.00
N,17,6,Low,1.00
N,17,7,Low,1.00
N,17,8,Low,0.83
N,17,9,Low,0.83
N,17,10,Low,0.83
N,17,11,Low,0.83
N,17,12,Low,0.83
N,17,13,Low,0.83
N,17,14,Low,0.83
N,17,15,Low,0.83
N,17,16,Low,0.83
N,17,17,Low,0.83
N,17,18,Low,0.83
N,17,19,Low,0.83
N,17,20,Low,0.83
N,17,21,Low,0.83
N,17,22,Low,0.83
N,17,23,Low,0.83
N,17,24,Low,0.83
N,17,25,Low,0.83
N,17,26,Low,0.83
N,17,27,Low,0.83
N,17,28,Low,0.83
O,14,1,Low,1.00
O,14,2,Low,1.00
O,14,3,Low,1.00
O,14,4,Low,0.83
O,14,5,Low,0.83
O,14,6,Low,0.83
O,14,7,Low,0.83
O,14,8,Low,0.67
O,14,9,Low,0.67
O,14,10,Low,0.67
O,14,11,Low,0.67
O,14,12,Low,0.67
O,14,13,Low,0.67
O,14,14,Low,0.67
O,14,15,Low,0.67
O,14,16,Low,0.67
O,14,17,Low,0.67
O,14,18,Low,0.67
O,14,19,Low,0.67
O,14,20,Low,0.67
O,14,21,Low,0.67
O,14,22,Low,0.67
O,14,23,Low,0.67
O,14,24,Low,0.67
O,14,25,Low,0.67
O,14,26,Low,0.67
O,14,27,Low,0.67
O,14,28,Low,0.67
P,5,1,Low,1.00
P,5,2,Low,1.00
P,5,3,Low,1.00
P,5,4,Low,0.83
P,5,5,Low,0.83
P,5,6,Low,0.67
P,5,7,Low,0.50
P,5,8,Low,0.00
P,5,9,Low,0.00
P,5,10,Low,0.00
P,5,11,Low,0.00
P,5,12,Low,0.00
P,5,13,Low,0.00
P,5,14,Low,0.00
P,5,15,Low,0.00
P,5,16,Low,0.00
P,5,17,Low,0.00
P,5,18,Low,0.00
P,5,19,Low,0.00
P,5,20,Low,0.00
P,5,21,Low,0.00
P,5,22,Low,0.00
P,5,23,Low,0.00
P,5,24,Low,0.00
P,5,25,Low,0.00
P,5,26,Low,0.00
P,5,27,Low,0.00
P,5,28,Low,0.00
Q,8,1,Low,1.00
Q,8,2,Low,1.00
Q,8,3,Low,1.00
Q,8,4,Low,0.83
Q,8,5,Low,0.83
Q,8,6,Low,0.50
Q,8,7,Low,0.17
Q,8,8,Low,0.00
Q,8,9,Low,0.00
Q,8,10,Low,0.00
Q,8,11,Low,0.00
Q,8,12,Low,0.00
Q,8,13,Low,0.00
Q,8,14,Low,0.00
Q,8,15,Low,0.00
Q,8,16,Low,0.00
Q,8,17,Low,0.00
Q,8,18,Low,0.00
Q,8,19,Low,0.00
Q,8,20,Low,0.00
Q,8,21,Low,0.00
Q,8,22,Low,0.00
Q,8,23,Low,0.00
Q,8,24,Low,0.00
Q,8,25,Low,0.00
Q,8,26,Low,0.00
Q,8,27,Low,0.00
Q,8,28,Low,0.00
R,17,1,Low,1.00
R,17,2,Low,1.00
R,17,3,Low,1.00
R,17,4,Low,1.00
R,17,5,Low,1.00
R,17,6,Low,1.00
R,17,7,Low,1.00
R,17,8,Low,1.00
R,17,9,Low,1.00
R,17,10,Low,1.00
R,17,11,Low,1.00
R,17,12,Low,1.00
R,17,13,Low,1.00
R,17,14,Low,1.00
R,17,15,Low,1.00
R,17,16,Low,1.00
R,17,17,Low,1.00
R,17,18,Low,1.00
R,17,19,Low,0.83
R,17,20,Low,0.83
R,17,21,Low,0.83
R,17,22,Low,0.83
R,17,23,Low,0.83
R,17,24,Low,0.83
R,17,25,Low,0.83
R,17,26,Low,0.83
R,17,27,Low,0.83
R,17,28,Low,0.83
